"id","age","sex","marital","pd1","pd2","pd3","pd4","pd5","pd6","pd7","pd8","pd9","pd10","pd11","pd12","pd13","pd14","pd15","pd16","pd17","pd18","pd19","pd20","life.dis","daily.dis"
17137,52,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17140,53,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17142,56,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,3,4,4,0,10
17144,45,2,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17145,57,2,1,0,0,1,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,2,9
17146,74,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,0,11
17148,69,2,4,1,0,1,0,0,0,0,0,0,0,0,2,2,3,3,4,4,3,4,4,2,16
17149,70,1,1,0,0,1,0,0,1,0,0,0,0,NA,3,4,4,4,4,4,4,4,4,2,10
17154,52,1,5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17155,49,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17158,58,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,NA,9
17160,59,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17161,70,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,3,3,4,0,14
17164,51,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17166,64,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17168,45,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17171,55,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17172,76,2,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,0,12
17176,78,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17179,64,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,4,3,3,3,0,18
17181,53,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,4,0,10
17182,56,1,5,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,4,2,4,4,0,21
17185,72,2,5,0,0,0,2,0,0,0,0,0,0,0,3,3,4,4,4,3,2,3,4,1,15
17189,60,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17192,67,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,4,4,4,4,0,11
17197,53,1,3,0,0,1,0,0,0,0,1,0,0,0,4,4,4,4,4,4,4,4,4,2,9
17198,61,1,3,1,0,0,1,0,0,0,0,0,0,0,4,4,3,4,3,4,3,4,4,2,12
17206,53,1,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
